omega,amp_mean,weight_mean,cluster_k3,cluster_k4,cluster_k5
0.8200000000000001,0.0370284647806419,0.0030320077821715617,0,3,4
0.8300000000000001,0.03682967694720967,0.003040325153633724,0,3,4
0.84,0.03663630292460659,0.003048708934680516,0,3,4
0.85,0.03644813875122424,0.0030571573339310382,0,3,4
0.86,0.03626499029093708,0.0030656685065044223,0,3,4
0.87,0.036086672656993765,0.0030742405529489043,0,3,4
0.88,0.035913009675646035,0.003082871518246921,0,3,4
0.89,0.0357438333863762,0.003091559390799536,0,3,4
0.9,0.035578983575844846,0.0031003021014586315,0,3,4
0.91,0.03541830734296162,0.0031090975224489594,0,3,4
0.92,0.03526165869267365,0.003117943466454347,0,3,4
0.93,0.035108898156314,0.0031268376856364247,0,3,4
0.9400000000000001,0.03495989243650192,0.003135777870589622,0,3,4
0.9500000000000001,0.03481451407477841,0.003144761649465074,0,3,4
0.96,0.034672641140300976,0.003153786587008092,0,3,4
0.97,0.034534156938070486,0.0031628501835973405,0,3,4
0.98,0.034398949735280016,0.003171949874369503,0,3,4
0.99,0.034266912504491466,0.003181083028326197,0,3,4
1.0,0.0341379426824536,0.0031902469474369838,0,3,4
1.01,0.03401194194346754,0.0031994388658247767,0,3,4
1.02,0.03388881598629009,0.003208655948912201,0,3,4
1.03,0.033768474333649295,0.003217895292646407,0,3,4
1.04,0.03365083014350918,0.0032271539227067105,0,3,4
1.05,0.033535800031298704,0.003236428793792231,0,3,4
1.06,0.03342330390237306,0.003245716788883356,0,3,4
1.07,0.03331326479402377,0.0032550147186057965,0,3,4
1.08,0.03320560872641804,0.0032643193205514273,0,3,4
1.09,0.03310026456189148,0.0032736272587200227,0,3,4
1.1,0.03299716387204718,0.003282935122919145,0,3,0
1.11,0.032896240812168416,0.0032922394283163912,0,3,0
1.12,0.03279743200248558,0.003301536614896908,0,3,0
1.1300000000000001,0.032700676415859636,0.003310823047092867,0,3,0
1.1400000000000001,0.032605915271494465,0.0033200950134178006,0,3,0
1.1500000000000001,0.03251309193429257,0.0033293487261073975,0,3,0
1.16,0.03242215181952634,0.003338580320906642,0,3,0
1.17,0.03233304230248487,0.003347785856868646,0,3,0
1.18,0.03224571263281482,0.0033569613161874715,0,3,0
1.19,0.0321601138532588,0.003366102604132606,0,3,0
1.2,0.032076198722548535,0.00337520554906055,0,3,0
1.21,0.03199392164219235,0.0033842659024573753,0,3,0
1.22,0.03191323858694399,0.003393279339084594,0,3,0
1.23,0.031834107038734405,0.0034022414571850974,0,3,0
1.24,0.03175648592386368,0.0034111477787572017,0,3,0
1.25,0.03168033555328404,0.0034199937499672195,0,3,0
1.26,0.03160561756577502,0.0034287747415258324,0,3,0
1.27,0.03153229487387537,0.003437486049335308,0,3,0
1.28,0.03146033161239826,0.0034461228950061666,0,1,0
1.29,0.03138969308939976,0.0034546804266600314,0,1,0
1.3,0.03132034573945841,0.0034631537197119732,0,1,0
